date,home_team,home_score,away_team,away_score
"Feb 3, 2017, 11:15 AM",BSR ACE Gran Canaria,61,Hyeres Handi Basket,65
"Feb 3, 2017, 11:15 AM",RSB Thuringia Bulls,69,Beşiktaş HDI Sigorta,65
"Feb 3, 2017, 11:15 AM",GSD Porto Torres,64,Galatasaray SK,66
"Feb 3, 2017, 1:30 PM",Ilan Ramat Gan,69,cs Meaux bf,73
"Feb 3, 2017, 1:30 PM",Fundación Grupo Norte,44,BG Baskets Hamburg,71
"Feb 3, 2017, 1:30 PM",DECO Group Amicacci Giulianova,53,UnipolSai Briantea84 Cantù,82
"Feb 3, 2017, 3:45 PM",Hyeres Handi Basket,64,Beit Halochem Tel Aviv,67
"Feb 3, 2017, 3:45 PM",Beşiktaş HDI Sigorta,64,ASD Handicap Sport Varese,30
"Feb 3, 2017, 3:45 PM",Galatasaray SK,59,Le Cannet,36
"Feb 3, 2017, 6:00 PM",UnipolSai Briantea84 Cantù,72,BSR ACE Gran Canaria,44
"Feb 3, 2017, 6:00 PM",cs Meaux bf,57,RSB Thuringia Bulls,78
"Feb 3, 2017, 6:00 PM",BG Baskets Hamburg,75,GSD Porto Torres,76
"Feb 3, 2017, 8:15 PM",Beit Halochem Tel Aviv,47,DECO Group Amicacci Giulianova,84
"Feb 3, 2017, 8:15 PM",ASD Handicap Sport Varese,67,Ilan Ramat Gan,56
"Feb 3, 2017, 8:15 PM",Le Cannet,43,Fundación Grupo Norte,56
"Feb 4, 2017, 9:00 AM",UnipolSai Briantea84 Cantù,73,Hyeres Handi Basket,47
"Feb 4, 2017, 9:00 AM",cs Meaux bf,46,Beşiktaş HDI Sigorta,70
"Feb 4, 2017, 9:00 AM",BG Baskets Hamburg,58,Galatasaray SK,45
"Feb 4, 2017, 11:15 AM",DECO Group Amicacci Giulianova,65,BSR ACE Gran Canaria,54
"Feb 4, 2017, 11:15 AM",Ilan Ramat Gan,35,RSB Thuringia Bulls,95
"Feb 4, 2017, 11:15 AM",Fundación Grupo Norte,60,GSD Porto Torres,62
"Feb 4, 2017, 1:30 PM",Beit Halochem Tel Aviv,45,UnipolSai Briantea84 Cantù,95
"Feb 4, 2017, 1:30 PM",ASD Handicap Sport Varese,55,cs Meaux bf,67
"Feb 4, 2017, 1:30 PM",Le Cannet,50,BG Baskets Hamburg,90
"Feb 4, 2017, 3:45 PM",Hyeres Handi Basket,66,DECO Group Amicacci Giulianova,56
"Feb 4, 2017, 3:45 PM",Beşiktaş HDI Sigorta,77,Ilan Ramat Gan,42
"Feb 4, 2017, 3:45 PM",Galatasaray SK,60,Fundación Grupo Norte,50
"Feb 4, 2017, 6:00 PM",BSR ACE Gran Canaria,66,Beit Halochem Tel Aviv,51
"Feb 4, 2017, 6:00 PM",RSB Thuringia Bulls,84,ASD Handicap Sport Varese,51
"Feb 4, 2017, 6:00 PM",GSD Porto Torres,75,Le Cannet,65
