Player,MPG,FGMPG,FGAPG,FG%,3PMPG,3PAPG,3P%,FTMPG,FTAPG,FT%,ORPG,DRPG,RPG,APG,AST,TOPG,BLKPG,BLK,STPG,STL,PFPG,PPG,PTS
Morteza ABEDI,32.3,5.8,13.3,43.4,0.0,0.3,0.0,1.0,1.8,57.1,1.3,4.0,5.3,1.0,4,0.5,0.0,0,0.3,1,2.5,12.5,50
Ayman ABU ADAIA,8.4,0.5,0.5,100.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.5,1.5,3
Deniz ACAR,22.4,3.8,5.8,65.2,0.0,0.3,0.0,1.0,2.0,50.0,1.5,2.8,4.3,2.0,8,1.3,0.3,1,1.5,6,1.8,8.5,34
Jens ALBRECHT,15.5,1.8,3.5,50.0,0.0,0.0,0.0,1.0,3.0,33.3,0.3,0.5,0.8,2.3,9,1.3,0.0,0,0.5,2,0.8,4.5,18
Juan José ALONSO,24.3,3.5,8.3,42.4,0.0,0.5,0.0,1.0,2.0,50.0,0.5,3.3,3.8,2.5,10,0.8,0.0,0,0.3,1,2.5,8.0,32
Ismail AR,26.2,3.0,7.0,42.9,0.0,0.0,0.0,0.5,0.5,100.0,0.3,0.8,1.0,0.8,3,0.0,0.0,0,0.0,0,2.3,6.5,26
Sandrella AWAD,18.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0,0.3,0.0,0,0.0,0,0.3,0.0,0
Marcin BALCEROWSKI (1.0),9.3,1.0,2.3,44.4,0.0,0.3,0.0,0.5,0.5,100.0,0.3,0.0,0.3,0.3,1,0.0,0.3,1,0.0,0,0.3,2.5,10
Krzysztof BANDURA,27.2,5.8,12.5,46.0,1.5,3.8,40.0,2.0,2.0,100.0,0.3,1.8,2.0,1.5,6,0.3,0.0,0,0.5,2,1.5,15.0,60
Shay BARBIBAY,30.8,2.8,6.8,40.7,0.0,0.0,0.0,2.3,4.0,56.3,0.5,2.5,3.0,2.5,10,0.8,0.3,1,0.3,1,2.3,7.8,31
George BATES,31.1,7.8,13.3,58.5,0.0,0.0,0.0,2.3,3.3,69.2,2.3,3.5,5.8,1.8,7,0.5,0.0,0,0.8,3,1.5,17.8,71
Raimunds BEGINSKIS,22.2,3.5,5.5,63.6,0.0,0.3,0.0,0.5,0.5,100.0,0.3,1.3,1.5,2.0,8,0.5,0.0,0,0.3,1,1.5,7.5,30
Houcine BELAÏD (3.5),30.8,4.8,13.5,35.2,0.3,1.0,25.0,1.8,3.0,58.3,3.5,4.0,7.5,0.5,2,1.5,0.0,0,0.5,2,2.0,11.5,46
Brian BELL,26.8,7.5,13.5,55.6,1.0,2.5,40.0,2.0,2.5,80.0,2.3,3.0,5.3,4.3,17,0.0,0.0,0,0.8,3,2.0,18.0,72
Mattijs BELLERS,32.8,6.0,12.0,50.0,0.0,0.5,0.0,1.0,2.3,44.4,2.3,7.8,10.0,0.3,1,2.0,0.3,1,0.3,1,1.5,13.0,52
Avi BEN SIMHON,21.2,3.8,7.5,50.0,0.0,0.5,0.0,1.8,2.5,70.0,0.5,5.8,6.3,1.3,5,2.0,0.5,2,0.3,1,1.3,9.3,37
Adolfo BERDUN,24.4,3.8,8.8,42.9,1.3,2.8,45.5,0.8,0.8,100.0,0.5,1.5,2.0,3.3,13,0.3,0.0,0,1.3,5,2.0,9.5,38
Albin BERNAL,11.2,1.5,3.8,40.0,0.0,0.0,0.0,0.3,0.3,100.0,0.5,0.3,0.8,0.5,2,0.0,0.0,0,0.3,1,0.8,3.3,13
Andre BIENEK,26.3,3.8,8.0,46.9,0.5,0.5,100.0,1.5,2.8,54.5,0.0,2.5,2.5,4.8,19,0.8,0.0,0,0.5,2,1.8,9.5,38
Simon BROWN,22.5,1.0,2.5,40.0,0.3,0.5,50.0,0.0,0.0,0.0,0.8,1.3,2.0,0.8,3,0.3,0.0,0,0.3,1,1.3,2.3,9
Cosimo CAIAZZO,24.1,1.3,4.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,2.3,1.8,7,0.0,0.0,0,0.8,3,3.0,2.5,10
Raimondo CANU,2.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
Christophe CARLIER,33.8,4.0,10.3,39.0,0.3,0.5,50.0,1.8,2.3,77.8,0.5,4.3,4.8,0.8,3,0.3,0.0,0,0.0,0,1.8,10.0,40
Filippo CAROSSINO,19.0,3.8,6.3,60.0,0.0,0.0,0.0,0.8,1.3,60.0,0.8,2.8,3.5,0.5,2,0.8,0.0,0,0.0,0,1.3,8.3,33
Audrey CAYOL,39.8,8.8,18.8,46.7,2.5,5.5,45.5,1.3,2.0,62.5,0.3,1.5,1.8,3.0,12,1.8,0.0,0,0.3,1,2.8,21.3,85
Maside CESUR,6.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
Artur CHASON,32.0,0.3,1.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0,0.5,0.0,0,0.3,1,2.3,0.5,2
Mitsugu CHIWAKI,12.9,1.5,2.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,3,0.0,0.0,0,0.0,0,0.5,3.0,6
Ghazain CHOUDHRY,37.7,7.8,13.0,59.6,0.8,2.0,37.5,3.3,4.0,81.3,0.8,9.8,10.5,8.8,35,1.3,0.3,1,0.5,2,2.0,19.5,78
Yasin CIRGAOĞLU,14.1,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0,0.0,0,1.5,1.0,2
