Team,PPG,Personal REB,STPG,BLKPG,PF,FBPPG,PFTPG,PIPPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,3PA,3P%,2PM,2PA,2P%
ASD Handicap Sport Varese,50.8,19.8,3.5,0.0,63,2.0,7.0,18.0,90,227,39.6,20,28,71.4,3,10,30.0,87,217,40.1
Beit Halochem Tel Aviv,52.5,22.0,2.0,0.5,38,7.3,4.3,29.5,90,184,48.9,27,48,56.3,3,12,25.0,87,172,50.6
Beşiktaş HDI Sigorta,69.0,34.0,5.8,1.3,57,0.5,14.5,35.0,122,229,53.3,25,45,55.6,7,26,26.9,115,203,56.7
BG Baskets Hamburg,73.5,28.0,1.5,0.3,31,2.0,2.5,34.5,123,225,54.7,31,46,67.4,17,41,41.5,106,184,57.6
BSR ACE Gran Canaria,56.3,23.0,4.0,0.8,66,6.8,4.0,34.0,101,226,44.7,21,49,42.9,2,14,14.3,99,212,46.7
cs Meaux bf,60.8,31.5,3.0,0.3,61,0.5,5.0,24.5,102,236,43.2,28,61,45.9,11,29,37.9,91,207,44.0
DECO Group Amicacci Giulianova,64.5,21.5,4.3,0.3,50,10.5,6.3,26.0,105,245,42.9,40,52,76.9,8,31,25.8,97,214,45.3
Fundación Grupo Norte,52.5,25.5,1.0,0.0,41,0.5,3.0,38.5,97,220,44.1,15,25,60.0,1,17,5.9,96,203,47.3
Galatasaray SK,57.5,22.3,1.8,0.0,54,0.5,3.0,25.0,106,236,44.9,17,26,65.4,1,13,7.7,105,223,47.1
GSD Porto Torres,69.3,31.0,3.3,0.0,45,2.5,4.3,35.5,117,258,45.3,35,60,58.3,8,43,18.6,109,215,50.7
Hyeres Handi Basket,60.5,21.8,0.5,1.5,43,14.0,0.5,22.5,105,202,52.0,27,47,57.4,5,11,45.5,100,191,52.4
Ilan Ramat Gan,50.5,21.5,4.0,0.3,65,0.5,5.0,13.5,87,231,37.7,26,57,45.6,2,14,14.3,85,217,39.2
Le Cannet,48.5,21.5,0.8,0.0,38,1.0,1.5,29.0,84,239,35.1,22,32,68.8,4,22,18.2,80,217,36.9
RSB Thuringia Bulls,81.5,25.0,6.0,0.5,36,3.0,13.0,36.5,140,247,56.7,44,77,57.1,2,6,33.3,138,241,57.3
UnipolSai Briantea84 Cantù,80.5,26.3,3.0,0.3,53,9.0,6.3,35.0,139,260,53.5,29,43,67.4,15,39,38.5,124,221,56.1
